,text,label
85,"@disseinfancia eu sempre tive um pé atrás com ela... e ela defendeu recentemente o candidato a governador do rio grande do sul pelo psdb que é um canastrão, então eu já fico na dúvida",0
86,"a marina criticou o bolsonoro por ele dizer que ""as eleições são fraude"" e logo em seguida ela diz que a vitória da dilma em 2014 foi fraude.   to ligado q ela é conhecida por mudar de lado/opinião, mas pô!? na mesma frase?? #debatenarecord",0
87,rolaram umas bilaterais antes desse debate aí viu #debatenaglobo #haddadé13,0
88,a miséria da globo teve nem a capacidade de chamar daciolo só pq e o único que fala a vdd naquela poha,1
89,na espectativa de ver mais uma aula do ciro gomes!! #cironosbt,1
90,"ciro e tão debochado quando eu, amo #debatenarecord",1
91,gente vamos dale no cirão nhe,1
92,"@almeidawally acabei de falar com a minha namorada isso: se ele fosse de um partido maior, tinha mta chance de levar isso mas ele é do psol q é tao odiado ou ate mais q o pt",1
93,“ vocês podem tbm chamar o meirelles.....” kkkkk gente to rindo demais,1
94,o golpe começou lá atrás quando tiraram dilma. continuou com a prisão de lula e vai continuar se não ganhar o candidato favorito do militares. e chamam isso aqui de democracia. eleições democráticas uma ova!,0
95,boulos é aquele adolescente da sexta série debochado que solta a piadinha no primeiro vacilo do outro né #debateband,0
96,quero meme do boulos na minha mesa agora,1
97,tentaram convidar o lula mesmo?,1
98,"o modelo tributário do brasil é de 5° mundo, fiz álvaro dias.",0
99,@fabioazevedotv só o daciolo para salvar o vascão!,1
100,daciolo se diz a favor das cotas e que vai aumentá-las. #debatesbt #debate #uolnasurnas,1
101,pisa meu boulos sz,1
102,ciro é o que mais se diverte nesse debate #debateredetv https://t.co/2nrn4lpl6v,1
103,"@luciano_hang eu queria saber de onde vem tanto dinheiro pra patrocinar os ataques dele ao bolsonaro na globo, pq ele tá em todo comercial",0
104,cadê meu presidente amoedo tb,1
105,o bolsonaro nem tá no debate e nego só fala dele kkkkkkkkkkkkkkkk aí que podre,0
106,boulos escreveu na mão com sua humilde bic #debatenarecord,1
107,"marina jogou a verdade na cara de todo mundo e ainda citou a record! marina, sua linda! &lt;3 #debatenaglobo",1
108,#debateband #daciolo é o meme do #debateband,1
109,@rolandinho meireles não tira o ovo da boca,0
110,alguém acorda a marina?? #debate2018,0
111,eu to 100% arrepiado com o que o boulos disse,1
112,gente eu não guento o cabo daciolo kkkkkkkkkkkkkkk,1
113,principal tema do debate kk bolsonaro   #debatenarecord,1
114,"daciolo é engraçado, mas vejo uma boa intenção por trás",1
115,"@gleisi #pesquisaparanapopularcom debbad boys auto ridículo$ tv 8 de 13 desmotiva voto r$u$ de boulo a bolsonaro castra $ mererla alkimia temer7r$1u$ violência militar, armação u$ uma mulher e 7 homi absorve mente$ suja$ fala falácia$ democracia representa crime televisão avalia orgcrim?",0
116,o álvaro dias tá chapadão hahauahauahaa #debatenaglobo,0
117,"sem lógica alguma, por pura e simples canalhice ou puro desconhecimento, uns torcem contra e outros mentem diariamente para arranjar uma queda de bolsonaro. agora ele desidrata, amanhã ele desidratá... terão que continuar torcendo e mentindo! #bolsonaronaband",0
118,"pra bolsonaro, quase todo mundo é bandido. que coisa feia. #debateband",0
119,@cancerjack como se o meireles trabalhasse muito né kkkkkkkkkkkkkkkkkkkkkkk,0
120,agora a marina meus deuses que 18 de repeito   ate fiquei emocionada   e olha que nem é minha candidata   #ovotonarecord,1
121,bolsonaro com a palavra. eu: https://t.co/jdedhnerl9,1
122,a boca do haddad parece o pão de açúcar,0
123,só bolsonaro não está de pé no debate da band... estratégia isso? https://t.co/eh7ygp3lhu,0
124,@blogdonoblat álvaro dias convidou em rede nacional moro para ser ministro da justiça. dizem que moro e família sempre votou e votará em álvaro dias.,1
125,ciro gomes fodendo os fudidos #gazetaestadaojp,0
126,o internauta quer saber:  só eu pegaria o cabo daciolo?,1
127,"eu não sei em que lugar do mundo essa gente do psol vive que eles tanto falam em ""encarceramento do jovem negro"", sempre onde eu morei menor de idade não passava nem 1 dia na febem",0
128,"@gab_pedreira cuidado com a bolha kkkkkkkk alckmin tem o maior tempo de tv e está em 2 nas pesquisas, arrisco dizer que ele só tem a crescer, afinal a tv ainda é um fator crucial nas eleições",1
129,"""o senhor está atrapalho no tempo e no espaço"" - haddad chamando o outro de bêbado de forma educada #debatenaglobo",0
130,daciolo é o genival cruz a nível nacional,0
131,@bernardosalce achando o haddad meio inseguro,0
132,"jornal da globo mostrando a marina pedindo oração,  mas trinta minutos atrás estava desdenhado de um senhor de 63 anos pai de família que sofreu tentativa de assassinato por não ter ido ao chamando-o de ""amarelão"": já pode aproveitar suas férias de 4 anos.",0
133,os caras vivem pra atacar lula e o pt porra cada proposta boa viu,0
134,escrevi sobre um curioso trecho do programa de boulos. algumas promessas dele pro futebol:  - tributar venda de jovens jogadores - mudar calendário e horário dos jogos - rediscutir estaduais - o estado determinaria a divisão da verba de tv entre os clubes  https://t.co/kip99lwrl8,0
135,"e minha mae que fica mandando fotos contra o bolsonaro p as amigas dela q é a favor, eu racho mt",1
136,e aquele videozinho honesto do ciro falando esses dados de assassinato hein? cadê?,0
137,alckmin vida limpa kkkkk ata,0
138,"oi meirelles, vi o patrimônio que tu declarou ter.. será se podemos ser melhores amigos?",1
139,bolsonaro não é patriota! votou pela entrega das riquezas do país! #debateredetv,0
140,"hahaha cabo daciolo é mt onda, gloria a deus",1
141,cade eles chamando o ciro????¿,1
142,desde criança eu acho a voz da marina mt fofa #debateband,1
143,"""eu peço mais uma vez ao povo brasileiro abra o olho"" álvaro dias só fala isso kkkkkkkkkkk",0
144,"@andreiasadi ""fugir do pt, indo pro ciro, é mesma coisa que escolher qual lado da bunda vai querer tomar a benzetacil.  acorda povo!"" kkkkk. a frase não é minha, mas é muito boa, não é??",0
145,"cabo daciolo se mostrou ainda mais desequilibrado que no último debate e menos preparado, repetindo os bordões de condenar os outros candidatos e não focando em apresentar nenhuma proposta concreta, o que na minha visão já está cansativo até mesmo vindo dele.",0
146,aff eu amo a marina,1
147,"boulos em ""não me convidaram pra essa festa pobre"" 😂 #valetudo30anos  #debatenarecord https://t.co/aetvpx3wox",1
148,o boulos falando “eu não” kkkkkkkk,1
149,"@umcursino kkkkkkkkkkkkkkk eu falei nos meus tweets atrás que o bolsonaro não é o candidato ideal pra mim, mas é o que mais tem chance de mudar essa putaria que tem aí",1
150,o ciro me hipnotiza. pqp. #debatenaband,1
151,"@guilhermeboulos pra quem divide palco com presidiário, é bucha de canhão do pt, vc devia ficar quieto  vai arrumar emprego !",0
152,"@dniels91 já vi muitos candidatos, mas o boulos é o pior que já vi",0
153,"@danilogentili danilo deveria participar do próximo debate,a população é favorável...se  solta uma dessas durante o debate acaba com a candidatura da india gajajarra,digo marina .",0
154,o ciro é inteligente demais eu me sinto uma ameba ouvindo,1
155,cabo daciolo esculachou o pt adorei!!!!!!!!!!!,1
156,vota no ciro caralho qual a dificuldade de ir la na urna e apertar o 12 caralho mas que infernoooooo,0
157,"""nem toda vitória eleitoral é uma vitória política"" pow guilherme boulos lembrando o que é importante",1
158,ownt esse ciro gomes bebendo aguinha quenhe o bebe da mamae,1
159,o senador jader barbalho (mdb/pa) votou contra a cassação dos direitos políticos de dilma rousseff.  acesse https://t.co/jpzmbtxydy e veja o que este e outros políticos fizeram em seus mandatos. #tchauqueridos https://t.co/sdoqobofuy,0
160,o bolsonaro parece meu tio luiz celso falando,1
161,vamos lá! é ciro 12! #tsunamiciro #ciro12 #ciropresidente #cironaglobo,1
162,#bolsonaronaband bolsonaro aplaudido no estúdio esse é nosso presidento !,1
163,"o cabo daciolo é o diabinho interno de cada um de nós se manifestando no twitter, juntou td cristalizou e tá no debate dando voz às nossas reclamações  #debateband",0
164,marina silva já tá concorrendo pela 3x e ainda precisa explicar pq quer ser candidata? acho que já tá meio óbvio né #debateredetv,0
165,"bolsonaro bem treinado cita generidades se conectando coma tal indignação com tudo o que está aí. sem nunca apontar as causas, claro. e sem oferecer qq plano de governo tb, claro.",0
166,"pôha, bolsonaro; fazendo arminha com dedo.... https://t.co/8wtafweesf",0
167,parece que nenhum dos candidatos levam o daciolo a sério #ovotonarecord,0
168,@guilhermeboulos eu te amo. falar vdd do agro em rede nacional não é pra qualquer um,1
169,"bolsonaro só usa a desculpa que está se recuperando pra ir nos debates, pra dar entrevista exclusiva na record ele tá só o filézinho",0
170,"mds, bicho quem aguenta esse daciolo   #debateband",0
171,"#debateband daciolo é cria dos fóruns da deepweb sobre teoria da conspiração, senhor deus, melhor dizendo , ""pela glória do senhor gzuis""",1
172,gente meirelles vai morrer a qualquer segundo nesse debate tadinho tá guentando nem uma gata pelo rabo,0
173,meu celular,0
174,@veramagalhaes boulos é um mentiroso .finge demais. plebiscito pra ele é anular o congresso .isso é falar coisa com coisa?,0
175,"o alckmin continua pinóquio: diz que vai fazer tudo ao contrário de temer, que ele apóia",0
176,#debateredetv bolsonaro direto e reto né migos ? 😅,1
177,o marido da minha irmã disse que o voto dele é do bolsonaro kkkk essa é a cereja do bolo que faltava pra ter certeza que ele é um lixo,0
178,bolsonaro se quem recebe bolsa família é vagabundo filha de militar também é deixa de ser hipócrita #debatenaband,0
179,"#debateband esse boulos é um lixo, vagabundo, sem vergonha, devia ir embora para a venezuela ou cuba, lá sim esse lixo ajudaria a aumentar a merda que lá se encontra.",0
180,ciro tem o plano certo para fazer nossa economia voltar ao patamar que merecemos.  #tsunamiciro  #ciro12  #cirosim  #cironaglobo  #debatenaglobo,1
181,"gente eu sou mttttt apaixonada pelo ciro, sério  juro p vcs que queria ver ele pessoalmente só p poder dar um abraço, ele é mttttt fofo socorro",1
182,caralho boulos murro no curinga,0
183,"eu vou de ciro  dos males, o menor",1
184,@lizziebang vou nela e dps no ciro num segundo turno kkkk o resto nao dáa,1
185,o alvaro dias passando o tempo do discurso kkkkkkkkkkkk #debatenaglobo,0
186,bolsonaro fala mal da clt bolsonaro diz que a gente não precisa se preocupar com a igualdade salarial das mulheres porque ela já está prevista na clt  muito confiável o bozonaro,0
187,impressiona como o haddad se dá mal nos debates. só sai o que tá ensaiado.,0
188,#álvaro responde a boulos sobre o judiciário https://t.co/1prk8mx6vp,1
189,ciro falando #ciro12  #cironosbt  #debatesbt https://t.co/tq1kmlndoy,1
190,bora de debate ne!! o arregão fugiu ne kkk. vamos ver o q da esse debate ai! #lindafaladoguilhermeboulos — a ver rede globo,0
191,gente o boulos tem uma  expressão facial que pqp geminiano nato,0
192,"eu não aguento o boulos chamando os candidatos de ""50 tons de temer""",0
193,totalmente deselegante  apoia bolsonaro mas senta pra traficante🎶,0
194,"@joelalexandrem na primeira intervenção, bolsonaro fala em tirar direitos dos trabalhadores se estes quiserem emprego. é bom lembrar que a reforma trabalhista já reduziu direitos e não gerou os milhões de empregos prometidos (reforma, aliás, que recebeu o voto favorável do ""mito"").",0
195,o meirelles falando do bozo aaaa nunca tinha ouvido falar dele mas adorei,1
196,mano o boulos é insanoooooooo!!!! que homem!!!!! #debatenaglobo,1
197,"@ladyvicspanhol1 @lavajatonews @guhfc__ @tscmrj @siicaio @revistaistoe @stf_oficial se não fosse o stf, o lula tava livre. o eduardo cunha tava fazendo campanha, por exemplo.",1
198,"@lilica_bbb sim. seria burro dele ir contra o eleitorado dele. assim como marina nunca vai dizer que é a favor do aborto legal, porque ela tem grande aprovação com eleitorado mais conservador e religioso.",1
199,bolso x ciro. é agora!,1
200,essa marina é muito chata puta merda,0
201,força #haddade13,1
202,"""você não acredita em nenhuma palavra do que acabou de dizer"" ahahahahahahahahahah risadas gostosas ciro obg",0
203,@falarenata ele e a múmia do meirelles,0
204,@anabeat05826201 quando criança álvaro dias gostava de brincar de esconde esconde com os piões no meio do cafezal no norte do paraná.,0
205,gente o que o boulos falou,0
206,"boulos, come meu cu rapidão só pra testar um negocio",1
207,"ciro citando deus pra puxar votos evangélicos, vai ciro!",1
208,o boulos pisou na globo dentro da globo kkkkkkkkkkkkk#debatenaglobo,1
209,"@wyyuri @iara_vidal pegando os cabeças logo se chega no resto, sobre ditadura e o resto que vc disse é um falta de informação da sua parte que chega a ser feio! prefere ladrao então? depois não reclame do brasil. se lula fez algo ele fez pra esconder o que roubava",0
210,geraldo alckmin declara apoio ao plano prato vazio durante debate presidencial da rede globo https://t.co/gsxri8rpze,0
211,#debateband bolsonaro fala fala fala e não fala nada,0
212,@kennedyalencar mas foi maldoso em criticar bolsonaro em não ir ao debate. sabedor que os médicos vetaram sua participação.,0
213,marina tá segurando o riso hahahahahahahaha,1
214,"bolsonaro perdeu o destaque no debate pro cabo, ele é muito mais divertido",1
215,será que o alvaro dias vai mandar soltar os cavalo nos corruptos também já que a lava a jato vai ser a tropa de elite do governo dele,1
216,cara amei  o bolsonnaro x daciolo. papo de manos. #debatenaredetv,1
217,"bonoro x meirelles eles não estão falando nenhuma proposta, só se atacando e atacando partidos",0
218,"já falei e repito, ciro gomes é o mais preparado p ser presidente",1
219,o que o ciro tá falando,0
220,"@marcelocaliari é complicado, e os doentes da esquerda acham que uma ditadura acontece com bolsonaro que já prometeu menos envolvimento do estado",1
221,ou o bolsonaro é um sucesso internacional ou tem um monte de bots subindo a hashtag dele até na rússia.,1
222,ppvo do bar discutindo a facada do salnorabo e falando q eh culpa do lula eu to alcolizada suficiente para meter na cv dos outros,0
223,"@luanamalveiraa acho q o ciro n mora aqui, ou é nós q estamos num país de 1° mundo e n sabemos?  pelo q ciro fala... https://t.co/qzocwcs6yf",0
224,acho q minha mãe vai fazer um pacto pro bolsonaro não ganhar essas eleições,0
225,será que o daciolo tá acompanhando o debate lá no monte?,1
226,"a vozinha da família dinisasouro, vulgo marina, podia fazer um botox. aqueles vincos na sobrancelha não está legal. #debateredetv",0
227,"haddad falando que vai fazer ciclovia, só lembro das que ele fez em sp https://t.co/aitojwve8l",1
228,boulos ta bem,1
229,e esse botox do álvaro dias hein? #debatenaband,1
230,"a vantagem do bolsonaro é que sempre o atacam usando as velhas polêmicas, e estão se dando mal. continuem assim, isso facilita pra ele.",0
231,@4urelion respeito. por enquanto estou em bolsonaro para quebrar um pouco a dinastia.,1
232,"#gazetaestadaojp quando alckmin fala em educação, até causa arrepios. em sp ele e todos os governos do psdb acabaram com ela. há alunos no terceiro ano do ensino médio que ainda não sabem ler e escrever, literalmente.",0
233,"“decisão obrigatória e de efeito imediato”, diz especialista da onu sobre liminar a favor de lula https://t.co/dgnlumya1b via @revistaforum",1
234,"eu já tenho um candidato. mas se você vai votar em branco, olha o que acontece quando alguém escolhe no seu lugar. amoêdo 30",0
235,"lula livre, lula candidato, lula presidente. https://t.co/mifworskbc",1
236,"boulos: ""faz 30 anos que o brasil saiu de uma ditadura, muita gente morreu. (...) sempre começa assim, tudo se resolve na porrada. eu nasci numa ditadura e não quero que as minhas filhas cresçam em uma."" #eleiçõesnotts #debatenaglobo https://t.co/oj6eopyk7b",0
237,quando o boulos vai falar dos 50 tons de temer,1
238,bolsomito!!!!! #debateredetv,1
239,@albuqsmariana @_whosdan eu tenho quase certeza que através desse joguinho oratório ele leva essa merda. tô com ódio mortal do boulos.,0
240,que vergonha bolsonaro,0
241,"""""defensivo agrícola"""": ciro ou kátia?",0
242,esse cabo paciolo consegue gritar mais q o bolsonaro hahaha #debateband,0
243,gente o bolsonaro não tem lábio... não confio em quem não tem lábio,0
244,eu fico realmente triste que essas eleições estão sendo pautadas pelo bolsonaro :((( eu só queria não ter que votar só pra derrotar esse idiota filho da puta,0
245,"marina sai do pv, mas o pv  não sai da marina hehehe #debateredetv",0
246,"marina, por que tão maravilhosa?",1
247,"zé dirceu /  @dirceumemorias /  / a pequena analua, bisneta do presidente lula, já começou a ""leitura"" das minhas memórias! obrigado, vovó lurian e mamãe bia, pela solidariedade, carinho e pelo lindo .. https://t.co/tqwaivm0bn",1
248,se pá o daciolo é o próprio anticristo descrito em apocalipse disfarçado de homem de deus (e o bolso é o assessor dele) #debateredetv,0
249,o álvaro dias parece que tá no país das maravilhas #ovotonarecord,1
250,você quer? você pode! ciro 12!! #gazetaestadaojp  #ciropresidente12 https://t.co/lnludkqdra,1
251,galera q nãp mora no paraná o alvaro dias joga cavalo nos professores que pedem seus direitos,0
252,"@felipefarma @leiarachor 489 mil agora na live do presidente 17 bolsonaro!!! jair messias bolsonaro fez uma transmissão ao vivo. seguindo - bolsonaro ao vivo . no youtube: https://t.co/y8kijgwby1 nan shares2,5 mi visualizações 489 mil",1
253,"esse boulos, é ridículo.",0
254,"bolsonaro em debate é igual aluno que apresenta trabalho sem estudar, não sabe de nada e só fala besteira",0
255,haddad tentando não fazer o gesto com as mãos enquanto escuta a pergunta!,0
256,"reitero meu voto. é de haddad - manuela, https://t.co/ioin7iwl6z",1
257,kkkkkkkkkkkkkkkkkkk tô dando palas com o álvaro dias,1
258,"acho engraçado que quando começou a surgir os bolsominion a esquerda inteira ""não seja fã de político"",  ai agr vem essa palhaçada com o ciro gomes",0
259,"o boulos fala muito bem e tem conhecimento da máquina pública... vejo nele um futuro líder, será?",1
260,ciro tem tem mt cara d debocje,0
261,precisamos falar uma verdade inconveniente: o haddad seria mais bonito com um nariz menos ingrato. #postsdesnecessários,0
262,"@fbnprs pior que eu até curti mas, a do boulos foi muito foda",1
263,daciolo muuuuuuuuuuuito melhor que bozonazi,1
264,quem não tiver estômago para ver os jornalixos da @redeglobo podem ver nosso futuro presidente aqui 😊 #haddadé13,0
265,"cabo daciolo tem que prender todo mundo nessa sala, se gritar pega ladrão não sobra um.",0
266,eu sei que vc vai votar no bolsonaro se for com pt — meu cu https://t.co/zzrdnwkhw0,0
267,"patente alta, respeitem  #cironaband",1
268,ciro debochado eu amo #debatenarecord,1
269,começamos bem com alckmin falando tolerância zero pra roubalheira kkjkjkjkkkk,0
270,votem na chapa libertária do partido novo (ostermann/dias),1
271,fiquei com pena da marina porque só sobrou o chato pra ela  #debatenaglobo,0
272,mano meirelles pelo amor de @ deus tira essa batata quente da garganta pra falar,0
273,"pergunta sobre juros e o @jairbolsonaro ""bolsomito"" fala de clt. não sabe nem sobre o que está respondendo. boçal demais. #debateredetv",0
274,gente o que tá acontecendo com o alvaro dias,0
275,gente do céu.... ainda estamos no dia 9 e: mac miller morre anitta separou museu pegou fogo bolsonaro levou uma facada mr catra morreu  oq tá acontecendo???,0
276,"falo aqui pra você.  pouco me importa o voto do patrão.  nem todo eleitor do coiso é fascista. alguns são equivocados. mas o país todo pagará caro se esse decrépito ganhar a eleição. vamos resistir. nas urnas e nas ruas. o coiso foi bem definido pelo ciro: ""nazista filho da puta"" https://t.co/juzozhc3bx",0
277,"""esse país já teve presidente sociólogo, engenheiro, advogado... e nenhum deles investiu em educação. pois os filhos deles não tinham problema com educação"" lula  #debatecomlula #debateband https://t.co/lblqrgc79c",0
278,esse ciro é pau no cu viu kkkkkkkkk,0
279,"mal de atleticano e igual as pessoas que votam contra o bolsonaro nao tem um bom partido ai votam contra ele, assim e atleticano nao tem time ai torce contra o cruzeiro 😂😂👏👏👏👏",0
280,"@ricaperrone boulos é um cara patético e irrelevante, típico mentiroso cara de pau.",1
281,agora o filho chora e o boulos furta #debateredetv,0
282,eu amo que o amoedo não participa dos debates  logo ele que é o futuro que o brasil precisa,1
283,#cirosim #tsunamiciro #ciro12 #debatenaglobo  tô aqui sentado no sofá só esperando pai ciro se pronunciar. só vai dar painho ciro nesse debate,1
284,"goiás com bolsonaro. música ""pt tchau tchau tchau"". ouçam! https://t.co/uprmpvpb2z",1
285,"‘se evitarem que lula chegue na urna, farão algo que nunca fizeram no brasil’ diz advogado  https://t.co/feioan5uhu",0
286,boulos acabando c esse debate meu deus q cara inteligente,1
287,"estamos em segundo nos tt mundiais, isso mostra a força do povo, não tem pra ninguém. é bolsonaro! #estoucombolsonaro",1
288,marina moeu o bozo.,0
289,"a moça de cabelo cumprido sentada na bancada no #debateredetv é mal educada, não sabe comportar-se, corta a colega no meio da fala, apresenta mal, riu da piada imbecil do bozoasno contra boulos, é imparcial...   não serve para apresentar um programa desse nível.   manda embora!",0
290,bolsonaro nao vai mais participar de nenhum debate pq se recupera do atentado. hummm,1
291,você apoia o bolsonaro? — fazem a mesma pergunta 17 vezes https://t.co/0r6mobspdj,1
292,"""falando em banqueiro vou perguntar pro meirelles""",1
293,na constituição do pt ele não irá receber a lei da ficha limpa  na constituição do bolsonaro incertezas.,0
